Player Name, Position, Nationality, Club, Height, DoB, Goals,Season,Season
Sam Russell, Goalkeeper, England,Middlesbrough,183cm,04/10/1982,0,2002/03,2002/03
Richie Ryan, Midfielder, Ireland,Sunderland,178cm,06/01/1985,0,2002/03,2002/03
Mat Sadler, Defender, England,Birmingham City,180cm,26/02/1985,0,2002/03,2002/03
Louis Saha, Forward, France,Fulham,185cm,08/08/1978,5,2002/03,2002/03
Artim Sakiri, Midfielder, North Macedonia,West Bromwich Albion,179cm,23/09/1973,0,2002/03,2002/03
Salva Ballesta, Forward, Spain,Bolton Wanderers  (Loan),183cm,22/05/1975,0,2002/03,2002/03
Lloyd Sam, Midfielder, Ghana,Charlton Athletic,173cm,27/09/1984,0,2002/03,2002/03
Sam Hird, Defender, England,Leeds United,183cm,07/09/1987,0,2002/03,2002/03
Jlloyd Samuel, Defender, Trinidad & Tobago,Aston Villa,180cm,29/03/1981,0,2002/03,2002/03
Osei Sankofa, Defender, England,Charlton Athletic,183cm,19/03/1985,0,2002/03,2002/03
Facundo Sava, Forward, Argentina,Fulham,185cm,07/03/1974,5,2002/03,2002/03
Robbie Savage, Midfielder, Wales,Birmingham City,185cm,18/10/1974,4,2002/03,2002/03
Sebastien Schemmel, Defender, France,West Ham United,178cm,02/06/1975,0,2002/03,2002/03
Peter Schmeichel, Goalkeeper, Denmark,Manchester City,193cm,18/11/1963,0,2002/03,2002/03
Paul Scholes, Midfielder, England,Manchester United,168cm,16/11/1974,14,2002/03,2002/03
Steven Schumacher, Midfielder, England,Everton,183cm,30/04/1984,0,2002/03,2002/03
Mark Schwarzer, Goalkeeper, Australia,Middlesbrough,194cm,06/10/1972,0,2002/03,2002/03
Mark Scott, Goalkeeper, England,West Bromwich Albion,185cm,03/01/1991,0,2002/03,2002/03
David Seaman, Goalkeeper, England,Arsenal,193cm,19/09/1963,0,2002/03,2002/03
Sebastian Svärd, Midfielder, Denmark,Arsenal,185cm,15/01/1983,0,2002/03,2002/03
Rami Shaaban, Goalkeeper, Sweden,Arsenal,193cm,30/06/1975,0,2002/03,2002/03
Ricky Shakes, Midfielder, Guyana,Bolton Wanderers,178cm,25/01/1985,0,2002/03,2002/03
Shaun Wright-Phillips, Midfielder, England,Manchester City,168cm,25/10/1981,1,2002/03,2002/03
Alan Shearer, Forward, England,Newcastle United,183cm,13/08/1970,17,2002/03,2002/03
Teddy Sheringham, Forward, England,Tottenham Hotspur,183cm,02/04/1966,12,2002/03,2002/03
Tim Sherwood, Midfielder, England,Tottenham Hotspur,183cm,06/02/1969,0,2002/03,2002/03
Danny Shittu, Defender, Nigeria,West Bromwich Albion,191cm,02/09/1980,0,2002/03,2002/03
Shola Ameobi, Forward, Nigeria,Newcastle United,190cm,12/10/1981,5,2002/03,2002/03
Craig Short, Defender, England,Blackburn Rovers,191cm,25/06/1968,1,2002/03,2002/03
Chris Shuker, Midfielder, England,Manchester City,165cm,09/05/1982,0,2002/03,2002/03
Steve Sidwell, Midfielder, England,Arsenal,178cm,14/12/1982,0,2002/03,2002/03
Larus Sigurdsson, Defender, Iceland,West Bromwich Albion,183cm,04/06/1973,0,2002/03,2002/03
Mikaël Silvestre, Defender, France,Manchester United,184cm,09/08/1977,1,2002/03,2002/03
Steve Simonsen, Goalkeeper, England,Everton,189cm,03/04/1979,0,2002/03,2002/03
Florent Sinama-Pongolle, Forward, France,Liverpool,176cm,20/10/1984,0,2002/03,2002/03
Trevor Sinclair, Midfielder, England,West Ham United,178cm,02/03/1973,8,2002/03,2002/03
Harpal Singh, Midfielder, England,Leeds United,170cm,15/09/1981,0,2002/03,2002/03
Daniel Sjölund, Forward, Finland,Liverpool,179cm,22/04/1983,0,2002/03,2002/03
Jamie Slabber, Forward, England,Tottenham Hotspur,188cm,31/12/1984,0,2002/03,2002/03
Vladimir Smicer, Midfielder, Czech Republic,Liverpool,178cm,24/05/1973,0,2002/03,2002/03
Brian Smikle, Defender, England,West Bromwich Albion,176cm,03/11/1985,0,2002/03,2002/03
Jeff Smith, Midfielder, England,Bolton Wanderers,180cm,28/06/1980,0,2002/03,2002/03
Youssef Sofiane, Forward, France,West Ham United,182cm,08/07/1984,0,2002/03,2002/03
Nolberto Solano, Midfielder, Peru,Newcastle United,173cm,12/12/1974,7,2002/03,2002/03
Ole Gunnar Solskjaer, Forward, Norway,Manchester United,178cm,26/02/1973,9,2002/03,2002/03
David Sommeil, Defender, France,Manchester City,178cm,10/08/1974,1,2002/03,2002/03
Nicky Southall, Midfielder, England,Bolton Wanderers,178cm,28/01/1972,0,2002/03,2002/03
Keith Southern, Midfielder, England,Everton,178cm,24/04/1981,0,2002/03,2002/03
Gareth Southgate, Defender, England,Middlesbrough,183cm,03/09/1970,2,2002/03,2002/03
Tim Sparv, Midfielder, Finland,Southampton,194cm,20/02/1987,0,2002/03,2002/03
Gary Speed, Midfielder, Wales,Newcastle United,178cm,08/09/1969,2,2002/03,2002/03
John Spicer, Midfielder, England,Arsenal,180cm,13/09/1983,0,2002/03,2002/03
Matthew Spring, Midfielder, England,Leeds United,180cm,17/11/1979,0,2002/03,2002/03
Graham Stack, Goalkeeper, Ireland,Arsenal,188cm,26/09/1981,0,2002/03,2002/03
Phil Stamp, Midfielder, England,Middlesbrough,178cm,12/12/1975,0,2002/03,2002/03
Mario Stanic, Midfielder, Croatia,Chelsea,188cm,10/04/1972,4,2002/03,2002/03
Steve Staunton, Defender, Ireland,Aston Villa,183cm,19/01/1969,0,2002/03,2002/03
Luke Steele, Goalkeeper, England,Manchester United,188cm,24/09/1984,0,2002/03,2002/03
Stefan Schwarz, Midfielder, Sweden,Sunderland,183cm,18/04/1969,0,2002/03,2002/03
Igors Stepanovs, Defender, Latvia,Arsenal,193cm,21/01/1976,0,2002/03,2002/03
Stephen Kelly, Defender, Ireland,Tottenham Hotspur,184cm,06/09/1983,0,2002/03,2002/03
Michael Stewart, Midfielder, Scotland,Manchester United,180cm,26/02/1981,0,2002/03,2002/03
Robbie Stockdale, Defender, Scotland,Middlesbrough,180cm,30/11/1979,0,2002/03,2002/03
Andrejs Stolcers, Midfielder, Latvia,Fulham,180cm,08/07/1974,0,2002/03,2002/03
Steve Stone, Midfielder, England,Aston Villa,175cm,20/08/1971,0,2002/03,2002/03
Graham Stuart, Midfielder, England,Charlton Athletic,175cm,24/10/1970,0,2002/03,2002/03
Stuart Taylor, Goalkeeper, England,Arsenal,198cm,28/11/1980,0,2002/03,2002/03
Alan Stubbs, Defender, England,Everton,188cm,06/10/1971,0,2002/03,2002/03
Kevin Stuhr-Ellegaard, Goalkeeper, Denmark,Manchester City,196cm,23/05/1983,0,2002/03,2002/03
Hakan Sükür, Forward, Turkey,Blackburn Rovers,191cm,01/09/1971,2,2002/03,2002/03
Neil Sullivan, Goalkeeper, Scotland,Tottenham Hotspur,191cm,24/02/1970,0,2002/03,2002/03
Mark Summerbell, Midfielder, England,Middlesbrough,175cm,30/10/1976,0,2002/03,2002/03
Sun Jihai, Defender, China,Manchester City,178cm,30/09/1977,2,2002/03,2002/03
Andrew Surman, Midfielder, England,Southampton,178cm,20/08/1986,0,2002/03,2002/03
John Sutton, Forward, England,Tottenham Hotspur,186cm,26/12/1983,0,2002/03,2002/03
Mathias Svensson, Forward, Sweden,Charlton Athletic,183cm,24/09/1974,0,2002/03,2002/03
Piotr Swierczewski, Midfielder, Poland,Birmingham City,180cm,08/04/1972,0,2002/03,2002/03
Thomas Sørensen, Goalkeeper, Denmark,Sunderland,196cm,12/06/1976,0,2002/03,2002/03
Idan Tal, Midfielder, Israel,Everton,178cm,13/09/1975,0,2002/03,2002/03
Mauricio Taricco, Defender, Argentina,Tottenham Hotspur,175cm,10/03/1973,1,2002/03,2002/03
Alan Tate, Defender, England,Manchester United,185cm,02/09/1982,0,2002/03,2002/03
Stathis Tavlaridis, Defender, Greece,Arsenal,186cm,25/01/1980,0,2002/03,2002/03
Ian Taylor, Midfielder, England,Aston Villa,188cm,04/06/1968,0,2002/03,2002/03
Olivier Tebily, Defender, Cote D’Ivoire,Birmingham City,183cm,19/12/1975,0,2002/03,2002/03
Paul Telfer, Defender, Scotland,Southampton,175cm,21/10/1971,0,2002/03,2002/03
John Terry, Defender, England,Chelsea,187cm,07/12/1980,3,2002/03,2002/03
Jo Tessem, Midfielder, Norway,Southampton,191cm,28/02/1972,2,2002/03,2002/03
Duong Thach, Forward, Sweden,Bolton Wanderers,180cm,09/12/1985,0,2002/03,2002/03
Ben Thatcher, Defender, Wales,Tottenham Hotspur,178cm,30/11/1975,0,2002/03,2002/03
Paul Thirlwell, Midfielder, England,Sunderland,180cm,13/02/1979,0,2002/03,2002/03
Jerome Thomas, Midfielder, England,Arsenal,178cm,23/03/1983,0,2002/03,2002/03
David Thompson, Midfielder, England,Blackburn Rovers,170cm,12/09/1977,4,2002/03,2002/03
Sean Thornton, Midfielder, Ireland,Sunderland,178cm,18/05/1983,1,2002/03,2002/03
Danny Tiatto, Midfielder, Australia,Manchester City,173cm,22/05/1973,0,2002/03,2002/03
Li Tie, Midfielder, China,Everton,183cm,18/09/1977,0,2002/03,2002/03
Paul Tierney, Midfielder, England,Manchester United,178cm,15/09/1982,0,2002/03,2002/03
Mads Timm, Forward, Denmark,Manchester United,185cm,31/10/1984,0,2002/03,2002/03
Kazuyuki Toda, Midfielder, Japan,, , , ,2002/03,2002/03
Andrew Todd, Defender, England,Blackburn Rovers,178cm,21/09/1974,1,2002/03,2002/03
Stig Töfting, Midfielder, Denmark,Bolton Wanderers,175cm,14/08/1969,0,2002/03,2002/03
Tony Capaldi, Defender, Northern Ireland,Birmingham City,183cm,12/08/1981,0,2002/03,2002/03
Tore Andre Flo, Forward, Norway,Sunderland,193cm,15/06/1973,4,2002/03,2002/03
Djimi Traore, Defender, Mali,Liverpool,191cm,01/03/1980,0,2002/03,2002/03
Tugay, Midfielder, Turkey,Blackburn Rovers,176cm,24/08/1970,1,2002/03,2002/03
Ross Turnbull, Goalkeeper, England,Middlesbrough,193cm,04/01/1985,0,2002/03,2002/03
Michael Turner, Defender, England,Charlton Athletic,193cm,09/11/1983,0,2002/03,2002/03
Ifeanyi Udeze, , Nigeria,, , , ,2002/03,2002/03
Hakan Ünsal, Defender, Turkey,Blackburn Rovers,173cm,14/05/1973,0,2002/03,2002/03
David Unsworth, Defender, England,Everton,183cm,16/10/1973,5,2002/03,2002/03
Matt Upson, Defender, England,Birmingham City,185cm,18/04/1979,0,2002/03,2002/03
David Vadon, Midfielder, Uruguay,Manchester City, ,02/06/1988,0,2002/03,2002/03
Giovanni van Bronckhorst, Defender, Netherlands,Arsenal,178cm,05/02/1975,1,2002/03,2002/03
Raimond van der Gouw, Goalkeeper, Netherlands,West Ham United,191cm,24/03/1963,0,2002/03,2002/03
Edwin van der Sar, Goalkeeper, Netherlands,Fulham,197cm,29/10/1970,0,2002/03,2002/03
Ruud van Nistelrooij, Forward, Netherlands,Manchester United,188cm,01/07/1976,25,2002/03,2002/03
Stanislav Varga, Defender, Slovakia,Sunderland,196cm,08/10/1972,0,2002/03,2002/03
Alex Varney, Forward, England,Charlton Athletic,178cm,27/12/1984,0,2002/03,2002/03
Darius Vassell, Forward, England,Aston Villa,170cm,13/06/1980,8,2002/03,2002/03
Juan Sebastián Verón, Midfielder, Argentina,Manchester United,182cm,09/03/1975,2,2002/03,2002/03
Steve Vickers, Defender, England,Birmingham City,185cm,13/10/1967,0,2002/03,2002/03
Vlastimil Vidlicka, Defender, Czech Republic,Southampton,178cm,02/07/1981,0,2002/03,2002/03
Tony Vidmar, Defender, Australia,Middlesbrough,185cm,04/07/1970,0,2002/03,2002/03
Mark Viduka, Forward, Australia,Leeds United,188cm,09/10/1975,20,2002/03,2002/03
Patrick Vieira, Midfielder, France,Arsenal,192cm,23/06/1976,3,2002/03,2002/03
Moritz Volz, Defender, Germany,Arsenal,179cm,21/01/1983,0,2002/03,2002/03
Matías Vuoso, Forward, Mexico,Manchester City,175cm,03/11/1981,0,2002/03,2002/03
James Walker, Forward, England,Charlton Athletic,180cm,25/11/1987,0,2002/03,2002/03
Ronnie Wallwork, Defender, England,West Bromwich Albion,178cm,10/09/1977,0,2002/03,2002/03
Jonathan Walters, Forward, Ireland,Bolton Wanderers,183cm,20/09/1983,0,2002/03,2002/03
Simon Walton, Midfielder, England,Leeds United,185cm,13/09/1987,0,2002/03,2002/03
Paulo Wanchope, Forward, Costa Rica,Manchester City,189cm,31/07/1976,0,2002/03,2002/03
Elliott Ward, Defender, England,West Ham United,185cm,19/01/1985,0,2002/03,2002/03
Paul Warhurst, Defender, England,Bolton Wanderers,185cm,26/09/1969,0,2002/03,2002/03
Stephen Warnock, Defender, England,Liverpool,175cm,12/12/1981,0,2002/03,2002/03
Steve Watson, Defender, England,Everton,185cm,01/04/1974,5,2002/03,2002/03
Danny Webber, Forward, England,Manchester United,178cm,28/12/1981,0,2002/03,2002/03
Li Weifeng, Defender, China,Everton,182cm,26/01/1978,0,2002/03,2002/03
David Weir, Defender, Scotland,Everton,191cm,10/05/1970,0,2002/03,2002/03
John Welsh, Midfielder, England,Liverpool,175cm,10/01/1984,0,2002/03,2002/03
Myles Weston, Midfielder, Antigua & Barbuda,Charlton Athletic,180cm,12/03/1988,0,2002/03,2002/03
Glenn Whelan, Midfielder, Ireland,Manchester City,180cm,13/01/1984,0,2002/03,2002/03
Jeff Whitley, Midfielder, Northern Ireland,Manchester City,175cm,28/01/1979,0,2002/03,2002/03
Mike Whitlow, Defender, England,Bolton Wanderers,183cm,13/01/1968,0,2002/03,2002/03
Peter Whittingham, Midfielder, England,Aston Villa,178cm,08/09/1984,0,2002/03,2002/03
Gerard Wiekens, Midfielder, Netherlands,Manchester City,183cm,25/02/1973,0,2002/03,2002/03
Jason Wilcox, Midfielder, England,Leeds United,180cm,15/07/1971,1,2002/03,2002/03
Luke Wilkshire, Defender, Australia,Middlesbrough,176cm,02/10/1981,0,2002/03,2002/03
Tom Williams, Midfielder, Cyprus,Birmingham City,180cm,08/07/1980,0,2002/03,2002/03
Calum Willock, Forward, St. Kitts & Nevis,Fulham,183cm,29/10/1981,0,2002/03,2002/03
Mark Wilson, Midfielder, England,Middlesbrough,183cm,09/02/1979,0,2002/03,2002/03
Sylvain Wiltord, Forward, France,Arsenal,173cm,10/05/1974,10,2002/03,2002/03
Dean Windass, Forward, England,Middlesbrough,178cm,01/04/1969,0,2002/03,2002/03
Nigel Winterburn, Defender, England,West Ham United,173cm,11/12/1963,0,2002/03,2002/03
Robert Wolleaston, Midfielder, England,Chelsea,180cm,21/12/1979,0,2002/03,2002/03
Pierre Wome, Midfielder, Cameroon,Fulham,181cm,26/03/1979,1,2002/03,2002/03
Neil Wood, Forward, England,Manchester United,178cm,01/04/1983,0,2002/03,2002/03
Jonathan Woodgate, Defender, England,Newcastle United,188cm,22/01/1980,0,2002/03,2002/03
Curtis Woodhouse, Midfielder, England,Birmingham City,173cm,17/04/1980,0,2002/03,2002/03
Alan Wright, Defender, England,Aston Villa,163cm,28/09/1971,0,2002/03,2002/03
Alaeddine Yahia, Defender, Tunisia,Southampton,185cm,26/08/1981,0,2002/03,2002/03
Mark Yeates, Midfielder, Ireland,Tottenham Hotspur,175cm,11/01/1985,0,2002/03,2002/03
Joseph Yobo, Defender, Nigeria,Everton,188cm,06/09/1980,0,2002/03,2002/03
Dwight Yorke, Midfielder, ,Blackburn Rovers, , ,8,2002/03,2002/03
Kelly Youga, Defender, Central African Republic,Charlton Athletic,185cm,22/09/1985,0,2002/03,2002/03
Luke Young, Defender, England,Charlton Athletic,183cm,19/07/1979,0,2002/03,2002/03
Boudewijn Zenden, Midfielder, Netherlands,Chelsea,173cm,15/08/1976,1,2002/03,2002/03
Christian Ziege, Defender, Germany,Tottenham Hotspur,186cm,01/02/1972,2,2002/03,2002/03
Gianfranco Zola, Forward, Italy,Chelsea,168cm,05/07/1966,14,2002/03,2002/03
